Ano,SE,cidade,dengue
2001,50,Brasileia,0
2001,51,Brasileia,0
2001,52,Brasileia,0
2002,1,Brasileia,0
2002,2,Brasileia,0
2002,3,Brasileia,0
2002,4,Brasileia,0
2002,5,Brasileia,0
2002,6,Brasileia,2
2002,7,Brasileia,4
2002,8,Brasileia,2
2002,9,Brasileia,1
2002,10,Brasileia,4
2002,11,Brasileia,1
2002,12,Brasileia,3
2002,13,Brasileia,1
2002,14,Brasileia,4
2002,15,Brasileia,0
2002,16,Brasileia,0
2002,17,Brasileia,0
2002,18,Brasileia,2
2002,19,Brasileia,0
2002,20,Brasileia,0
2002,21,Brasileia,0
2002,22,Brasileia,0
2002,23,Brasileia,0
2002,24,Brasileia,0
2002,25,Brasileia,0
2002,26,Brasileia,1
2002,27,Brasileia,0
2002,28,Brasileia,0
2002,29,Brasileia,0
2002,30,Brasileia,0
2002,31,Brasileia,0
2002,32,Brasileia,0
2002,33,Brasileia,0
2002,34,Brasileia,0
2002,35,Brasileia,0
2002,36,Brasileia,0
2002,37,Brasileia,0
2002,38,Brasileia,0
2002,39,Brasileia,0
2002,40,Brasileia,0
2002,41,Brasileia,0
2002,42,Brasileia,0
2002,43,Brasileia,1
2002,44,Brasileia,0
2002,45,Brasileia,0
2002,46,Brasileia,0
2002,47,Brasileia,0
2002,48,Brasileia,1
2002,49,Brasileia,0
2002,50,Brasileia,0
2002,51,Brasileia,0
2002,52,Brasileia,0
2003,1,Brasileia,0
2003,2,Brasileia,0
2003,3,Brasileia,0
2003,4,Brasileia,0
2003,5,Brasileia,0
2003,6,Brasileia,0
2003,7,Brasileia,0
2003,8,Brasileia,1
2003,9,Brasileia,1
2003,10,Brasileia,0
2003,11,Brasileia,0
2003,12,Brasileia,0
2003,13,Brasileia,0
2003,14,Brasileia,0
2003,15,Brasileia,1
2003,16,Brasileia,1
2003,17,Brasileia,0
2003,18,Brasileia,1
2003,19,Brasileia,1
2003,20,Brasileia,0
2003,21,Brasileia,0
2003,22,Brasileia,0
2003,23,Brasileia,0
2003,24,Brasileia,0
2003,25,Brasileia,0
2003,26,Brasileia,0
2003,27,Brasileia,0
2003,28,Brasileia,0
2003,29,Brasileia,0
2003,30,Brasileia,0
2003,31,Brasileia,0
2003,32,Brasileia,0
2003,33,Brasileia,0
2003,34,Brasileia,0
2003,35,Brasileia,0
2003,36,Brasileia,0
2003,37,Brasileia,0
2003,38,Brasileia,0
2003,39,Brasileia,0
2003,40,Brasileia,0
2003,41,Brasileia,0
2003,42,Brasileia,0
2003,43,Brasileia,0
2003,44,Brasileia,0
2003,45,Brasileia,0
2003,46,Brasileia,0
2003,47,Brasileia,0
2003,48,Brasileia,0
2003,49,Brasileia,0
2003,50,Brasileia,0
2003,51,Brasileia,1
2003,52,Brasileia,0
2003,53,Brasileia,0
2004,1,Brasileia,1
2004,2,Brasileia,0
2004,3,Brasileia,0
2004,4,Brasileia,0
2004,5,Brasileia,2
2004,6,Brasileia,0
2004,7,Brasileia,0
2004,8,Brasileia,0
2004,9,Brasileia,0
2004,10,Brasileia,0
2004,11,Brasileia,0
2004,12,Brasileia,0
2004,13,Brasileia,1
2004,14,Brasileia,1
2004,15,Brasileia,1
2004,16,Brasileia,0
2004,17,Brasileia,0
2004,18,Brasileia,3
2004,19,Brasileia,4
2004,20,Brasileia,5
2004,21,Brasileia,2
2004,22,Brasileia,23
2004,23,Brasileia,14
2004,24,Brasileia,4
2004,25,Brasileia,1
2004,26,Brasileia,1
2004,27,Brasileia,1
2004,28,Brasileia,3
2004,29,Brasileia,4
2004,30,Brasileia,4
2004,31,Brasileia,5
2004,32,Brasileia,2
2004,33,Brasileia,4
2004,34,Brasileia,0
2004,35,Brasileia,1
2004,36,Brasileia,0
2004,37,Brasileia,0
2004,38,Brasileia,5
2004,39,Brasileia,0
2004,40,Brasileia,4
2004,41,Brasileia,7
2004,42,Brasileia,4
2004,43,Brasileia,7
2004,44,Brasileia,11
2004,45,Brasileia,11
2004,46,Brasileia,8
